Tester:     weka.experiment.PairedCorrectedTTester,,,,,,,,,,,,,,,,,,,,,,,,,
Analysing:  Weighted_avg_F_measure,,,,,,,,,,,,,,,,,,,,,,,,,
Datasets:   65,,,,,,,,,,,,,,,,,,,,,,,,,
Resultsets: 25,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence: 0.05 (two tailed),,,,,,,,,,,,,,,,,,,,,,,,,
Sorted by:  -,,,,,,,,,,,,,,,,,,,,,,,,,
Date:       11/23/14 2:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
4.7-type-sibsp-nofbp-noem,0.81,0.82,0.79,0.82,0.8,0.8,0.82,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.75,0.81,0.81,0.81,0.78
5.0-type-fbp-sibsp-deck,0.81,0.82,0.79,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.82,0.79,0.79,0.79,0.78,0.79,0.76,0.76,0.76,0.76,0.76,0.78,0.78,0.78,0.79
5.1-type-sibsp-deck-nofbp,0.81,0.81,0.79,0.8,0.81,0.81,0.8,0.8,0.8,0.8,0.82,0.79,0.79,0.79,0.81,0.79,0.79,0.8,0.8,0.8,0.74,0.8,0.8,0.8,0.81
5.2-type-fbp-sibsp-deck-n,0.8,0.83,0.79,0.81,0.8,0.8,0.8,0.82,0.81,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.76,0.76,0.76,0.76,0.77,0.8,0.8,0.8,0.8
5.3-type-sibsp-deck-noemb,0.78,0.79,0.79,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.73,0.79,0.79,0.79,0.79
5.4-type-fbp-sibsp-deck-n,0.81,0.82,0.79,0.8,0.81,0.81,0.8,0.81,0.8,0.81,0.82,0.79,0.79,0.79,0.77,0.79,0.76,0.76,0.76,0.76,0.76,0.79,0.79,0.79,0.79
5.5-type-sibsp-deck-nofbp,0.81,0.81,0.79,0.81,0.81,0.81,0.8,0.81,0.81,0.81,0.81,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.73,0.81,0.81,0.81,0.81
5.6-type-fbp-sibsp-deck-n,0.8,0.83,0.79,0.81,0.8,0.8,0.8,0.82,0.81,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.76,0.76,0.76,0.76,0.77,0.8,0.8,0.8,0.8
5.7-type-sibsp-deck-noemb,0.79,0.81,0.79,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.81,0.79,0.79,0.79,0.8,0.79,0.79,0.79,0.79,0.79,0.74,0.8,0.8,0.8,0.79
2.4-type2,0.82,0.81,0.79,0.82,0.82,0.82,0.81,0.81,0.8,0.82,0.81,0.82,0.82,0.82,0.83,0.81,0.79,0.8,0.8,0.8,0.76,0.8,0.8,0.8,0.82
2.5-type2-noembarked,0.81,0.81,0.79,0.83,0.82,0.82,0.81,0.8,0.8,0.81,0.82,0.82,0.82,0.82,0.83,0.8,0.78,0.79,0.8,0.79,0.75,0.8,0.8,0.8,0.79
2.6-type2-nosibsp-noparch,0.81,0.81,0.79,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.79,0.79,0.8,0.8,0.79,0.79,0.79,0.79,0.74,0.81,0.81,0.81,0.81
2.7-type2-nosibsp-noparch,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.77,0.79,0.79,0.79,0.78,0.78,0.79,0.79,0.79,0.79,0.73,0.78,0.78,0.78,0.78
2.8-type2-noparch,0.82,0.81,0.79,0.82,0.82,0.82,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.79,0.8,0.8,0.8,0.75,0.81,0.81,0.81,0.82
3.1-type2-company,0.81,0.8,0.79,0.81,0.81,0.81,0.8,0.81,0.8,0.8,0.81,0.79,0.79,0.79,0.81,0.81,0.78,0.78,0.78,0.78,0.74,0.8,0.8,0.8,0.8
3.3-type2-company-noembar,0.81,0.81,0.79,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.81,0.79,0.79,0.79,0.8,0.8,0.77,0.77,0.77,0.77,0.73,0.81,0.81,0.81,0.78
4.1-type2-sibsp,0.82,0.82,0.79,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.75,0.82,0.82,0.82,0.81
4.3-type2-sibsp-noembarke,0.82,0.82,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.78,0.78,0.78,0.78,0.76,0.82,0.82,0.82,0.79
4.4-type2-sibsp-noparch,0.83,0.82,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.75,0.82,0.82,0.82,0.81
4.5-type2-sibsp-noparch-n,0.81,0.82,0.79,0.82,0.8,0.8,0.8,0.81,0.8,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.78,0.78,0.78,0.78,0.75,0.8,0.8,0.8,0.78
5.1-type2-sibsp-deck,0.81,0.81,0.79,0.8,0.81,0.81,0.8,0.8,0.81,0.8,0.81,0.78,0.79,0.79,0.81,0.79,0.78,0.78,0.78,0.78,0.74,0.8,0.8,0.8,0.81
5.3-type2-sibsp-deck-noem,0.78,0.79,0.79,0.78,0.79,0.79,0.78,0.79,0.79,0.79,0.78,0.79,0.78,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.73,0.78,0.78,0.78,0.79
5.5-type2-sibsp-deck-nopa,0.81,0.81,0.79,0.81,0.81,0.81,0.8,0.81,0.81,0.81,0.81,0.79,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.73,0.8,0.8,0.8,0.81
5.7-type2-sibsp-deck-noem,0.79,0.81,0.79,0.8,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.79,0.78,0.79,0.81,0.79,0.78,0.78,0.78,0.78,0.74,0.8,0.8,0.8,0.79
1.binfbp,0.82,0.79,0.78,0.81,0.81,0.81,0.81,0.8,0.79,0.81,0.81,0.78,0.78,0.78,0.81,0.79,0.76,0.78,0.77,0.78,0.74,0.76,0.76,0.76,0.81
2.0-type-binfbp,0.82,0.81,0.79,0.82,0.82,0.82,0.82,0.81,0.8,0.82,0.82,0.82,0.82,0.82,0.83,0.81,0.76,0.78,0.78,0.78,0.75,0.8,0.8,0.8,0.82
2.1-type-binfbp-nosibsp-n,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.78,0.79,0.79,0.79,0.78,0.78,0.76,0.76,0.76,0.76,0.73,0.78,0.78,0.78,0.78
2.2-type-binfbp-noembarke,0.81,0.82,0.79,0.83,0.82,0.82,0.82,0.8,0.8,0.81,0.82,0.82,0.82,0.82,0.83,0.81,0.76,0.77,0.77,0.77,0.75,0.8,0.8,0.8,0.79
2.3-type-binfbp-nosibsp-n,0.82,0.81,0.79,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.81,0.79,0.79,0.79,0.79,0.79,0.77,0.77,0.77,0.77,0.74,0.81,0.81,0.81,0.81
2.4-type-binfbp-noparch,0.82,0.81,0.79,0.82,0.82,0.82,0.82,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.77,0.78,0.78,0.78,0.75,0.81,0.81,0.81,0.82
2.5-type-binfbp-noembarke,0.81,0.82,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.8,0.76,0.77,0.76,0.77,0.74,0.82,0.82,0.82,0.79
3.0-type-binfbp-company,0.81,0.81,0.79,0.8,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.79,0.79,0.79,0.81,0.81,0.77,0.77,0.77,0.77,0.74,0.8,0.8,0.8,0.81
3.2-type-binfbp-company-n,0.81,0.81,0.79,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.81,0.79,0.79,0.79,0.8,0.8,0.75,0.75,0.75,0.75,0.74,0.81,0.81,0.81,0.78
