Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 8
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 3:24 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],''
5.3-type2-sibsp-deck-noem,79.91,80.15,' ',79.87,' ',79.75,' ',79.67,' ',79.61,' ',79.26,' ',79.33,' '
5.5-type2-sibsp-deck-nopa,81.26,81.75,' ',81.43,' ',81.39,' ',81.39,' ',81.39,' ',81.39,' ',81.40,' '
5.7-type2-sibsp-deck-noem,80.40,80.85,' ',80.70,' ',80.49,' ',80.60,' ',80.55,' ',80.23,' ',79.95,' '
1.binfbp,76.29,77.17,' ',77.79,' ',77.66,' ',77.46,' ',77.79,' ',78.56,' ',77.86,' '
2.0-type-binfbp,80.74,81.37,' ',82.13,v,82.68,v,82.80,v,82.89,v,83.08,v,82.76,v
2.1-type-binfbp-nosibsp-n,79.73,79.69,' ',79.26,' ',79.26,' ',79.26,' ',79.26,' ',79.26,' ',79.17,' '
2.2-type-binfbp-noembarke,80.67,81.45,v,82.11,v,82.31,v,82.48,v,82.50,v,82.47,v,82.55,v
2.3-type-binfbp-nosibsp-n,82.09,82.04,' ',81.62,' ',81.62,' ',81.62,' ',81.57,' ',81.57,' ',80.98,*
2.4-type-binfbp-noparch,81.57,81.84,' ',81.84,' ',81.84,' ',81.87,' ',81.93,' ',82.42,' ',82.07,' '
2.5-type-binfbp-noembarke,82.30,82.54,' ',82.45,' ',82.45,' ',82.45,' ',82.47,' ',82.47,' ',82.45,' '
3.0-type-binfbp-company,81.29,81.44,' ',81.77,' ',81.77,' ',81.76,' ',81.74,' ',81.81,' ',81.65,' '
3.2-type-binfbp-company-n,81.71,81.75,' ',81.57,' ',81.55,' ',81.55,' ',81.37,' ',81.37,' ',81.37,' '
4.0-type-binfbp-sibsp,82.30,82.61,' ',82.75,' ',83.02,' ',82.95,' ',82.93,' ',82.93,' ',82.91,' '
4.2-type-binfbp-sibsp-noe,81.86,82.02,' ',82.34,' ',82.58,v,82.77,v,82.81,v,82.92,v,82.98,v
4.3-type-binfbp-sibsp-nop,82.81,82.76,' ',82.34,' ',82.34,' ',82.34,' ',82.29,' ',82.29,' ',81.70,*
4.4-type-binfbp-sibsp-nop,80.71,80.66,' ',80.24,' ',80.24,' ',80.24,' ',80.24,' ',80.24,' ',80.15,' '
5.0-type-binfbp-sibsp-dec,80.74,81.37,' ',81.72,' ',81.92,' ',81.93,' ',81.87,' ',81.75,' ',81.60,' '
5.2-type-binfbp-sibsp-dec,80.37,80.72,' ',80.91,' ',80.81,' ',80.74,' ',80.64,' ',80.28,' ',79.99,' '
5.3-type-binfbp-sibsp-dec,81.31,81.77,' ',81.64,' ',81.61,' ',81.61,' ',81.58,' ',81.58,' ',81.13,' '
5.4-type-binfbp-sibsp-dec,80.08,80.19,' ',80.15,' ',80.03,' ',79.95,' ',79.89,' ',79.54,' ',79.56,' '
'[v/ /*]','','',[2/63/0],'',[9/48/8],'',[10/47/8],'',[12/45/8],'',[13/44/8],'',[13/44/8],'',[12/43/10]


Key,
[1],'lazy.IBk \'-K 1 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[2],'lazy.IBk \'-K 2 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[3],'lazy.IBk \'-K 3 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[4],'lazy.IBk \'-K 4 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[5],'lazy.IBk \'-K 5 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[6],'lazy.IBk \'-K 6 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[7],'lazy.IBk \'-K 7 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[8],'lazy.IBk \'-K 8 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'

