Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
3.3-type-company-nofbp-no,81.82,81.73,' ',78.90,*,81.58,' ',81.46,' ',81.46,' ',81.17,' ',81.79,' ',81.80,' ',80.47,' ',81.77,' ',78.90,*,78.90,*,78.90,*,81.12,' ',81.12,' ',78.38,*,78.40,*,78.40,*,78.40,*,73.86,*,81.80,' ',81.80,' ',81.80,' ',79.90,*
4.0-type-fbp-sibsp,81.21,81.60,' ',78.90,*,82.04,' ',82.45,' ',82.46,' ',82.69,' ',80.94,' ',79.87,' ',82.59,' ',81.48,' ',81.93,' ',81.93,' ',81.93,' ',80.98,' ',81.93,' ',76.61,*,77.35,*,77.33,*,77.35,*,76.59,*,79.65,' ',79.65,' ',79.65,' ',81.30,' '
4.1-type-sibsp-parch-nofb,83.00,82.44,' ',78.90,*,82.03,' ',83.25,' ',83.25,' ',82.74,' ',82.32,' ',82.47,' ',82.65,' ',82.29,' ',81.93,' ',81.93,' ',81.93,' ',82.54,' ',81.93,' ',80.25,*,80.52,*,80.56,*,80.52,*,75.19,*,82.45,' ',82.45,' ',82.45,' ',82.12,' '
4.2-type-fbp-sibsp-noemba,81.06,82.04,' ',78.90,*,82.31,' ',82.27,' ',82.31,' ',82.15,' ',81.38,' ',80.89,' ',82.87,' ',81.90,' ',81.93,' ',81.93,' ',81.93,' ',81.73,' ',81.93,' ',76.93,*,77.50,*,77.45,*,77.50,*,77.23,*,80.57,' ',80.57,' ',80.57,' ',81.94,' '
4.3-type-sibsp-parch-nofb,82.28,82.39,' ',78.90,*,82.52,' ',81.85,' ',81.92,' ',82.49,' ',82.29,' ',82.38,' ',82.19,' ',82.25,' ',81.93,' ',81.93,' ',81.93,' ',82.39,' ',81.93,' ',80.63,*,80.73,*,80.76,' ',80.73,*,76.02,' ',82.40,' ',82.40,' ',82.40,' ',80.06,*
4.4-type-fbp-sibsp-noparc,81.26,81.81,' ',78.90,*,82.67,' ',82.74,' ',82.74,' ',82.84,' ',81.16,' ',80.94,' ',82.56,' ',81.74,' ',81.93,' ',81.93,' ',81.93,' ',80.89,' ',81.93,' ',77.00,*,77.35,*,77.34,*,77.35,*,76.42,*,80.25,' ',80.25,' ',80.25,' ',80.84,' '
4.5-type-sibsp-nofbp-nopa,83.35,82.99,' ',78.90,*,82.98,' ',83.08,' ',83.08,' ',82.50,' ',83.13,' ',83.07,' ',82.68,' ',83.12,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',80.33,*,80.35,*,80.35,*,80.35,*,75.49,*,82.96,' ',82.96,' ',82.96,' ',82.60,' '
4.6-type-fbp-sibsp-noemba,80.78,81.45,' ',78.90,' ',81.47,' ',80.19,' ',80.24,' ',80.73,' ',81.29,' ',81.17,' ',82.46,' ',81.59,' ',81.93,' ',81.93,' ',81.93,' ',81.25,' ',81.93,' ',77.09,*,77.51,*,77.53,*,77.51,*,77.13,*,80.91,' ',80.91,' ',80.91,' ',80.94,' '
4.7-type-sibsp-nofbp-noem,81.63,81.97,' ',78.90,*,82.00,' ',80.30,*,80.39,*,82.10,' ',81.42,' ',81.09,' ',81.30,' ',81.82,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',81.93,' ',80.70,' ',80.70,' ',80.70,' ',80.70,' ',75.73,' ',81.09,' ',81.09,' ',81.09,' ',79.88,' '
5.0-type-fbp-sibsp-deck,81.41,82.44,' ',78.90,*,80.33,' ',81.48,' ',81.50,' ',80.95,' ',80.87,' ',80.06,' ',80.99,' ',82.10,' ',78.79,*,78.62,*,78.78,*,78.04,*,78.84,*,76.32,*,76.84,*,76.87,*,76.84,*,76.15,*,78.65,*,78.65,*,78.65,*,80.23,' '
